date,asset,open,high,low,close,volume,amount,raw_close,float_shares,market_cap,turnover_rate,industry,listing_date,is_st,suspendFlag
2018-01-02,000060.SZ,6.374209656659185,6.408175249856304,6.2949566058659085,6.385531521058224,409161,458735280.0,11.28,4441101208.0,50095621626.24,0.0092130528181378,UNKNOWN,19970123,0,0
2018-01-02,000061.SZ,7.002961825818802,7.085242056148266,7.002961825818802,7.039530817076341,32827,25290956.0,7.7,1794330738.0,13816346682.6,0.0018294843478293,UNKNOWN,19970110,0,0
2018-01-02,000062.SZ,13.736269721274327,13.876555029066065,13.736269721274327,13.78887671169623,18152,42884566.0,23.59,1044929326.0,24649882800.34,0.001737150977424,UNKNOWN,19970130,0,0
2018-01-02,000063.SZ,33.263260057491564,33.372678676101735,31.713162960514165,32.579393691178005,899607,3195105241.0,35.73,4027621232.0,143906906619.36,0.0223359384654271,UNKNOWN,19971118,0,0
2018-01-02,000065.SZ,9.917421760506974,9.994215955555148,9.791259868642118,9.994215955555148,58013,104484540.0,18.22,1065018573.0,19404638400.06,0.0054471350519818,UNKNOWN,19980605,0,0
2018-01-02,000066.SZ,7.073848276339882,7.141679698167798,6.909114823329227,6.938185432684048,801397,576924781.0,7.16,3225589838.0,23095223240.08,0.0248449753455603,UNKNOWN,19970626,0,0
2018-01-02,000068.SZ,5.09,5.55,5.07,5.4,129902,69782471.0,5.4,1006671464.0,5436025905.6,0.0129041106900791,UNKNOWN,19970611,0,0
2018-01-02,000069.SZ,6.948094266785959,7.479419122481357,6.948094266785959,7.275063408752358,826216,735606914.0,8.9,6898601781.0,61397555850.9,0.0119765718652662,UNKNOWN,19970910,0,0
2018-01-02,000070.SZ,7.707891450532052,7.716108818816201,7.60106566283811,7.691456713963752,35511,33079514.0,9.36,856717041.0,8018871503.759999,0.0041450091804582,UNKNOWN,20000511,0,0
2018-01-02,000078.SZ,5.784802935466,5.863374112857728,5.7356959495961695,5.853552715683763,148613,87880486.0,5.96,2628998887.0,15668833366.52,0.0056528361702573,UNKNOWN,19981218,0,0
